"OVERS LEFT","Wickets","Resources"
"31","6","33.7"
"30","6","33.6"
"29","6","33.4"
"28","6","33.2"
"27","6","33"
"26","6","32.8"
"25","6","32.6"
"24","6","32.3"
"23","6","32"
"22","6","31.6"
"21","6","31.2"
"20","6","30.8"
"19","6","30.3"
"18","6","29.8"
"17","6","29.2"
"16","6","28.5"
"15","6","27.8"
"14","6","27"
"13","6","26.1"
"12","6","25.1"
"11","6","24"
"10","6","22.8"
"9","6","21.4"
"8","6","19.9"
"7","6","18.2"
"6","6","16.4"
"5","6","14.3"
"4","6","12"
"3","6","9.5"
"2","6","6.6"
"1","6","3.5"
"0","6","0"
"50","7","22"
"49","7","22"
"48","7","22"
"47","7","22"
"46","7","22"
"45","7","22"
"44","7","22"
"43","7","22"
"42","7","22"
"41","7","22"
"40","7","22"
"39","7","22"
"38","7","21.9"
"37","7","21.9"
"36","7","21.9"
"35","7","21.9"
"34","7","21.9"
"33","7","21.9"
"32","7","21.9"
"31","7","21.9"
"30","7","21.8"
"29","7","21.8"
"28","7","21.8"
"27","7","21.7"
"26","7","21.7"
"25","7","21.6"
"24","7","21.6"
"23","7","21.5"
"22","7","21.4"
"21","7","21.3"
"20","7","21.2"
"19","7","21.1"
"18","7","20.9"
"17","7","20.7"
"16","7","20.5"
"15","7","20.2"
"14","7","19.9"
"13","7","19.5"
"12","7","19"
"11","7","18.5"
"10","7","17.9"
"9","7","17.1"
"8","7","16.2"
"7","7","15.2"
"6","7","13.9"
"5","7","12.5"
"4","7","10.7"
"3","7","8.7"
"2","7","6.2"
"1","7","3.4"
"0","7","0"
"50","8","11.9"
"49","8","11.9"
"48","8","11.9"
"47","8","11.9"
"46","8","11.9"
"45","8","11.9"
"44","8","11.9"
"43","8","11.9"
"42","8","11.9"
"41","8","11.9"
"40","8","11.9"
"39","8","11.9"
"38","8","11.9"
"37","8","11.9"
"36","8","11.9"
"35","8","11.9"
"34","8","11.9"
"33","8","11.9"
"32","8","11.9"
"31","8","11.9"
"30","8","11.9"
"29","8","11.9"
"28","8","11.9"
"27","8","11.9"
"26","8","11.9"
"25","8","11.9"
"24","8","11.9"
"23","8","11.9"
"22","8","11.9"
"21","8","11.9"
"20","8","11.9"
"19","8","11.9"
"18","8","11.9"
"17","8","11.9"
"16","8","11.8"
"15","8","11.8"
"14","8","11.8"
"13","8","11.7"
"12","8","11.6"
"11","8","11.5"
"10","8","11.4"
"9","8","11.2"
"8","8","10.9"
"7","8","10.5"
"6","8","10.1"
"5","8","9.4"
"4","8","8.4"
"3","8","7.2"
"2","8","5.5"
"1","8","3.2"
"0","8","0"
"50","9","4.7"
"49","9","4.7"
"48","9","4.7"
"47","9","4.7"
"46","9","4.7"
"45","9","4.7"
"44","9","4.7"
"43","9","4.7"
"42","9","4.7"
"41","9","4.7"
"40","9","4.7"
"39","9","4.7"
"38","9","4.7"
"37","9","4.7"
"36","9","4.7"
"35","9","4.7"
"34","9","4.7"
"33","9","4.7"
"32","9","4.7"
"31","9","4.7"
"30","9","4.7"
"29","9","4.7"
"28","9","4.7"
"27","9","4.7"
"26","9","4.7"
"25","9","4.7"
"24","9","4.7"
"23","9","4.7"
"22","9","4.7"
"21","9","4.7"
"20","9","4.7"
"19","9","4.7"
"18","9","4.7"
"17","9","4.7"
"16","9","4.7"
"15","9","4.7"
"14","9","4.7"
"13","9","4.7"
"12","9","4.7"
"11","9","4.7"
"10","9","4.7"
"9","9","4.7"
"8","9","4.7"
"7","9","4.7"
"6","9","4.6"
"5","9","4.6"
"4","9","4.5"
"3","9","4.2"
"2","9","3.7"
"1","9","2.5"
"0","9","0"
